"ID";"X_UTM";"Y_UTM";"LAND_USE"
485555;887707;4635665;3
485557;887726;4649724;1
485558;887730;4606546;2
485559;887743;4577428;4
485561;887755;4620606;3
485563;887770;4691903;4
485564;887773;4591488;3
485565;887777;4634665;2
485567;887797;4648725;3
485568;887800;4605547;3
485569;887812;4576429;3
485570;887814;4662784;3
485571;887825;4619607;3
485573;887841;4690904;3
485574;887842;4590488;3
485575;887847;4633666;3
485577;887867;4647726;3
485578;887869;4604548;3
485579;887882;4575430;3
485580;887884;4661785;3
485581;887894;4618607;2
485583;887911;4589489;2
485584;887912;4689904;3
485585;887917;4632667;3
485587;887937;4646726;3
485588;887939;4603549;3
485589;887951;4574430;4
485590;887954;4660786;3
485591;887964;4617608;3
485593;887981;4588490;2
485594;887982;4688905;3
485595;887987;4631668;3
485598;888007;4645727;3
485599;888008;4602549;3
485602;888034;4616609;3
485604;888050;4587491;2
485605;888053;4687906;3
485606;888056;4630668;3
485609;888077;4644728;3
485610;888078;4601550;3
485613;888103;4615609;3
485615;888119;4586491;2
485617;888126;4629669;3
485620;888147;4600551;3
485621;888147;4643729;2
485624;888173;4614610;3
485626;888189;4585492;2
485627;888194;4685908;3
485628;888196;4628670;3
485631;888217;4599551;3
485632;888217;4642729;3
485634;888235;4656789;3
485635;888243;4613611;1
485637;888258;4584493;1
485638;888264;4684908;3
485639;888266;4627670;3
485642;888286;4598552;3
485643;888287;4641730;3
485644;888305;4655790;3
485645;888312;4612612;1
485646;888321;4669849;3
485647;888327;4583493;2
485648;888335;4683909;3
485649;888336;4626671;3
485652;888356;4597553;3
485653;888357;4640731;3
485654;888375;4654790;3
485655;888382;4611612;3
485656;888391;4668850;3
485657;888397;4582494;2
485658;888405;4625672;3
485659;888405;4682910;3
485661;888425;4596554;3
485663;888427;4639732;3
485664;888445;4653791;3
485665;888451;4610613;2
485666;888462;4667851;3
485667;888466;4581495;2
485668;888475;4624673;3
485671;888495;4595554;2
485673;888497;4638732;3
485674;888515;4652792;2
485675;888521;4609614;3
485676;888532;4666852;3
485677;888535;4580495;2
485678;888545;4623673;3
485681;888564;4594555;2
485682;888566;4637733;3
485684;888586;4651793;2
485685;888591;4608615;3
485686;888602;4665852;3
485687;888604;4579496;3
485688;888615;4622674;3
485691;888633;4593556;2
485692;888636;4636734;3
485694;888656;4650793;4
485695;888660;4607615;3
485696;888673;4578497;1
485698;888684;4621675;3
485701;888703;4592556;2
485702;888706;4635734;3
485704;888726;4649794;3
485705;888730;4606616;3
485706;888743;4577498;3
485708;888754;4620676;3
485710;888770;4691974;4
485711;888772;4591557;2
485712;888776;4634735;3
485714;888796;4648795;3
485715;888799;4605617;2
485716;888812;4576498;3
485717;888813;4662855;3
485718;888824;4619676;3
485720;888840;4690974;3
485721;888841;4590558;2
485722;888846;4633736;3
485724;888866;4647796;3
485725;888869;4604617;1
485726;888881;4575499;1
485727;888883;4661855;3
485728;888894;4618677;3
485729;888898;4675915;3
485730;888911;4589558;2
485731;888911;4689975;3
485732;888916;4632737;3
485734;888936;4646796;3
485735;888938;4603618;3
485738;888963;4617678;3
485739;888969;4674916;3
485740;888980;4588559;2
485741;888981;4688976;3
485742;888986;4631737;3
485745;889006;4645797;3
485746;889008;4602619;3
485748;889024;4659857;4
485749;889033;4616678;3
485751;889049;4587560;2
485752;889052;4687977;3
485753;889056;4630738;3
485756;889076;4644798;3
485757;889077;4601619;4
485760;889103;4615679;3
485762;889119;4586561;2
485763;889122;4686977;3
485764;889125;4629739;3
485767;889146;4643799;3
485768;889147;4600620;3
485771;889172;4614680;2
485773;889188;4585561;3
485774;889193;4685978;3
485775;889195;4628740;3
485778;889216;4599621;3
485779;889216;4642799;3
485781;889234;4656859;3
485782;889242;4613681;2
485784;889257;4584562;2
485785;889263;4684979;4
485786;889265;4627740;3
485789;889286;4598622;4
485790;889286;4641800;3
485791;889304;4655860;3
485792;889311;4612681;1
485793;889320;4669920;3
485794;889327;4583563;2
485795;889334;4683980;3
485796;889335;4626741;3
485799;889355;4597622;3
485800;889356;4640801;3
485801;889374;4654861;3
485802;889381;4611682;3
485803;889391;4668920;3
485804;889396;4582563;3
485805;889404;4682980;3
485806;889405;4625742;3
485808;889424;4596623;2
485810;889426;4639802;3
485811;889445;4653861;3
485812;889451;4610683;3
485813;889461;4667921;3
485814;889465;4581564;2
